,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
1927,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala,melas,Long-finned pilot whale,2470.0,4380.0,450.0,812.0,1.0,0.2,,109667.0,,1060000.0,,60.0,captivity,tiny,acceptable,0.015,10.0,,,,Mammals,Cetacea
1928,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Grampus,griseus,Risso's dolphin,,,365.0,,1.0,,,,,425000.0,,42.5,captivity,tiny,acceptable,,,,,,Mammals,Cetacea
1930,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,acutus,Atlantic white-sided dolphin,2231.0,,316.0,548.0,1.25,0.4,,24000.0,,208000.0,,27.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1931,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,obliquidens,Pacific white-sided dolphin,3832.0,,320.0,,1.0,,,14000.0,,103000.0,,46.0,captivity,small,acceptable,,,,,,Mammals,Cetacea
1932,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcaella,brevirostris,Irrawaddy dolphin,1826.0,1826.0,426.0,471.0,1.0,,,12300.0,45000.0,190000.0,,30.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1933,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,orca,Killer whale,3780.0,4930.0,435.0,471.0,1.0,0.2,1096.0,180000.0,,3987500.0,,90.0,wild,medium,acceptable,,14.0,,,309.15,Mammals,Cetacea
1934,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Peponocephala,electra,Melon-headed whale,4290.0,2465.0,365.0,,1.0,,,,,206000.0,,47.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1935,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Pseudorca,crassidens,False killer whale,3468.0,6756.0,451.0,730.0,1.0,0.1,1096.0,,,748000.0,,62.5,captivity,small,acceptable,,,,,309.75,Mammals,Cetacea
1938,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,attenuata,Pantropical spotted dolphin,2983.0,3956.0,345.0,543.0,1.0,0.3,1123.0,10000.0,,112500.0,,46.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1939,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,coeruleoalba,Striped dolphin,2834.0,3025.0,350.0,480.0,1.5,0.3,1253.0,10000.0,,112500.0,,57.5,wild,medium,acceptable,,,,,,Mammals,Cetacea
1940,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Steno,bredanensis,Rough-toothed dolphin,3650.0,,,,,,,,,114000.0,,32.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1941,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,Bottlenosed dolphin,2831.0,3689.0,365.0,548.0,1.0,0.5,858.0,19350.0,,200000.0,,51.6,captivity,medium,acceptable,,,,,,Mammals,Cetacea
1942,Animalia,Chordata,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius,robustus,Gray whale,2922.0,2922.0,395.0,180.0,1.0,0.5,730.0,500000.0,,28500000.0,,77.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1943,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Berardius,bairdii,Baird's beaked whale,4383.0,2922.0,517.0,,1.0,0.3,,,,11380000.0,,84.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1944,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,ampullatus,Northern bottlenose whale,3652.0,3287.0,365.0,365.0,1.0,1.0,365.0,,,6500000.0,,37.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1947,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Ziphius,cavirostris,Cuvier's beaked whale,,,365.0,,1.0,,,,,2701000.0,,62.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1948,Animalia,Chordata,Mammalia,Cetacea,Iniidae,Inia,geoffrensis,Amazon dolphin,,,287.0,,1.0,,,6800.0,,84000.0,,31.3,captivity,tiny,acceptable,,,,,,Mammals,Cetacea
1951,Animalia,Chordata,Mammalia,Cetacea,Kogiidae,Kogia,breviceps,Pygmy sperm whale,,,335.0,,1.0,1.0,,82000.0,,424600.0,,17.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1952,Animalia,Chordata,Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,Beluga,1644.0,2283.0,416.0,679.0,1.0,0.3,1004.0,66000.0,,1430000.0,,40.0,captivity,medium,acceptable,,,,,308.95,Mammals,Cetacea
1953,Animalia,Chordata,Mammalia,Cetacea,Monodontidae,Monodon,monoceros,Narwhal,2191.0,2922.0,450.0,608.0,1.0,0.3,914.0,80000.0,,1250000.0,,50.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1954,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Neophocaena,phocaenoides,Finless porpoise,2190.0,1460.0,320.0,320.0,1.0,0.5,730.0,7000.0,24500.0,32500.0,,33.0,captivity,small,acceptable,,,,,,Mammals,Cetacea
1955,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbor porpoise,1055.0,1461.0,320.0,243.0,1.0,1.0,365.0,7000.0,,52500.0,0.0088,20.4,captivity,small,acceptable,,,107.675,28500.0,,Mammals,Cetacea
1956,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoenoides,dalli,Dall's porpoise,1826.0,2375.0,347.0,302.0,1.0,0.7,1096.0,,,120000.0,,22.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1957,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,macrocephalus,Sperm whale,2922.0,3650.0,502.0,560.0,1.0,0.2,1259.0,1000000.0,,28500000.0,,77.0,wild,medium,acceptable,,,,,,Mammals,Cetacea
1959,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,bilineata,Greater sac-winged bat,365.0,,,60.0,1.0,1.0,,3.49,6.8,7.9,,6.0,wild,medium,acceptable,,,0.081,7.8,308.65,Mammals,Chiroptera
1960,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,fulvus,Fulvus roundleaf bat,563.0,563.0,158.0,,1.0,1.0,,2.34,,7.0,,13.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
1961,Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,Macroderma,gigas,Australian false vampire bat,,,,,1.0,1.0,,21.6,,150.0,,22.6,captivity,small,acceptable,,,0.639,126.0,310.15,Mammals,Chiroptera
1962,Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,Megaderma,lyra,Greater false vampire bat,540.0,450.0,150.0,,1.0,1.0,,7.5,,38.6,,14.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
1963,Animalia,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,schreibersii,Schreibers's long-fingered bat,577.0,730.0,100.0,66.0,1.0,1.0,365.0,2.8,12.5,13.0,0.0462,22.0,wild,medium,acceptable,,,0.145,10.9,310.85,Mammals,Chiroptera
1964,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Molossus,molossus,Pallas's mastiff bat,,,108.0,,1.0,2.0,,3.49,,14.0,,5.6,wild,tiny,acceptable,,,,,,Mammals,Chiroptera
1966,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,Brazilian free-tailed bat,273.0,547.0,78.0,,1.0,1.0,365.0,2.8,,12.5,0.11199999999999999,12.0,captivity,tiny,acceptable,,,0.11699999999999999,13.3,309.15,Mammals,Chiroptera
1968,Animalia,Chordata,Mammalia,Chiroptera,Mystacinidae,Mystacina,tuberculata,New Zealand lesser short-tailed bat,,,,,1.0,1.0,,3.2,,23.5,,7.6,captivity,small,acceptable,,,,,,Mammals,Chiroptera
1969,Animalia,Chordata,Mammalia,Chiroptera,Noctilionidae,Noctilio,leporinus,Greater bulldog bat,,,,,1.0,1.0,,,,50.0,,11.8,captivity,medium,acceptable,,,0.4,61.0,306.95,Mammals,Chiroptera
1970,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,geoffroyi,Geoffroy's tailless bat,,,120.0,,1.0,1.0,,5.1,,15.2,,10.0,captivity,small,acceptable,,,,,,Mammals,Chiroptera
1971,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Jamaican fruit-eating bat,289.0,289.0,76.0,,1.0,2.0,,5.9,,42.2,,19.2,captivity,large,acceptable,,,0.359,46.1,309.55,Mammals,Chiroptera
1973,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,perspicillata,Seba's short-tailed bat,258.0,258.0,95.0,,1.0,2.0,159.0,5.0,12.5,15.0,0.0347,17.0,captivity,large,high,,,0.24,14.9,309.55,Mammals,Chiroptera
1974,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,rotundus,Vampire bat,285.0,285.0,189.0,274.0,1.0,2.0,289.0,8.0,,33.2,0.0294,29.2,captivity,medium,acceptable,,,0.19399999999999998,29.4,308.15,Mammals,Chiroptera
1975,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Diphylla,ecaudata,Hairy-legged vampire bat,,,,,1.0,,,4.8,,28.0,,8.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
1976,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,soricina,Pallas's long-tongued bat,,,106.0,61.0,1.0,2.0,,,,10.0,,11.0,captivity,large,acceptable,,,0.16399999999999998,9.6,308.65,Mammals,Chiroptera
1977,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Southern long-nosed bat,,,122.0,,1.0,1.0,,,,25.0,,10.1,wild,medium,acceptable,,,,,,Mammals,Chiroptera
1978,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,californicus,California leaf-nosed bat,120.0,,270.0,,1.0,,,2.52,,11.6,,17.0,captivity,small,acceptable,,,0.08199999999999999,11.7,308.15,Mammals,Chiroptera
1979,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,waterhousii,Waterhouse's leaf-nosed bat,,,,,1.0,,,0.59,,16.0,,10.4,wild,medium,acceptable,,,,,,Mammals,Chiroptera
1980,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,discolor,Pale spear-nosed bat,,,105.0,,1.0,,,7.0,,43.4,,9.0,wild,medium,acceptable,,,0.267,33.5,307.75,Mammals,Chiroptera
1981,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Greater spear-nosed bat,,,120.0,,1.0,1.0,,15.9,,81.0,,18.0,wild,medium,acceptable,,,0.5589999999999999,84.2,307.85,Mammals,Chiroptera
1982,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,White-lined broad-nosed bat,,,106.0,,1.0,2.0,,8.3,,22.0,,13.0,captivity,small,acceptable,,,0.25,21.9,309.55,Mammals,Chiroptera
1983,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,lilium,Little yellow-shouldered bat,,,105.0,,1.0,2.0,,5.2,,20.0,,12.0,captivity,small,acceptable,,,0.237,21.4,309.55,Mammals,Chiroptera
1984,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Lesser short-nosed fruit bat,213.0,213.0,112.0,,1.0,2.0,,6.2,,45.0,,10.1,captivity,medium,acceptable,,,0.262,37.2,309.65,Mammals,Chiroptera
1985,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,Greater short-nosed fruit bat,150.0,525.0,120.0,42.0,1.2,2.0,,11.0,25.0,75.0,,10.0,captivity,small,acceptable,,,,,,Mammals,Chiroptera
1986,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Dobsonia,moluccensis,Moluccan naked-backed fruit bat,,,150.0,180.0,1.0,1.0,,55.0,,430.0,,12.3,captivity,small,acceptable,,,1.411,312.4,309.95,Mammals,Chiroptera
1987,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,Straw-colored fruit bat,,,275.0,65.0,1.0,1.0,365.0,50.0,135.0,306.25,,21.8,captivity,large,acceptable,,,,,307.65,Mammals,Chiroptera
1988,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Gambian epauletted fruit bat,,,150.0,,1.0,1.5,,10.0,,80.0,,7.8,captivity,small,acceptable,,,,,,Mammals,Chiroptera
1989,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Wahlberg's epauletted fruit bat,,,165.0,,1.0,2.0,,,,80.0,,10.1,captivity,tiny,acceptable,,,,,,Mammals,Chiroptera
1990,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Philippine pygmy fruit bat,120.0,315.0,90.0,70.0,1.0,1.0,,2.74,,18.0,,10.0,unknown,medium,acceptable,,,,,,Mammals,Chiroptera
1995,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,Indian flying fox,365.0,365.0,145.0,120.0,1.0,1.0,365.0,45.0,,1175.0,,40.0,captivity,large,high,,,1.6219999999999999,562.2,309.85,Mammals,Chiroptera
1996,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,hypomelanus,Variable flying fox,,,,,1.0,1.0,,,,450.0,,20.3,captivity,medium,acceptable,,,1.618,520.8,308.85,Mammals,Chiroptera
1997,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,livingstonii,Comoro black flying fox,,,152.0,,1.0,,,137.0,,696.5,,15.0,captivity,medium,acceptable,,,,,,Mammals,Chiroptera
2000,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,poliocephalus,Gray-headed flying fox,540.0,540.0,190.0,,1.0,1.0,,80.0,,675.0,,23.6,captivity,medium,acceptable,,,1.768,598.0,309.65,Mammals,Chiroptera
2002,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,pumilus,Little golden-mantled flying fox,,,,,,2.0,,,,200.0,,17.2,captivity,medium,acceptable,,,0.705,194.2,309.25,Mammals,Chiroptera
2003,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Rodriguez flying fox,,,198.0,,1.0,1.0,,45.0,,350.0,,28.0,captivity,large,acceptable,,,0.753,254.5,309.65,Mammals,Chiroptera
2004,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,scapulatus,Little red flying fox,540.0,540.0,,,1.0,1.0,,,,300.0,,15.8,captivity,small,acceptable,,,1.3530000000000002,362.0,310.15,Mammals,Chiroptera
2005,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,vampyrus,Large flying fox,,,,,1.0,1.0,,,,872.0,,20.9,captivity,medium,acceptable,,,4.486000000000001,1024.3,310.05,Mammals,Chiroptera
2007,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Egyptian rousette,365.0,365.0,116.0,122.0,1.0,2.0,,21.06,73.8,125.0,0.0149,22.9,wild,large,acceptable,,,0.684,146.0,307.95,Mammals,Chiroptera
2009,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,leschenaultii,Leschenault's rousette,150.0,455.0,115.0,,1.0,2.0,,12.0,,108.25,,14.0,captivity,medium,acceptable,,,,,,Mammals,Chiroptera
2011,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,ferrumequinum,Greater horseshoe bat,730.0,730.0,80.0,60.0,1.0,1.0,365.0,5.8,,22.875,,30.5,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2012,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,hipposideros,Lesser horseshoe bat,500.0,471.0,67.0,35.0,1.0,1.0,365.0,2.1,,4.6,,29.4,wild,large,acceptable,,,,,,Mammals,Chiroptera
2014,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,pallidus,Pallid bat,365.0,365.0,62.0,50.0,2.0,,,3.1,,20.8,0.0543,14.8,captivity,small,acceptable,,,0.10400000000000001,22.0,307.15,Mammals,Chiroptera
2017,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,townsendii,Townsend's big-eared bat,,,78.0,42.0,1.0,1.0,365.0,2.4,,14.25,,20.5,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2018,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,fuscus,Big brown bat,547.0,730.0,35.0,,2.0,1.0,365.0,3.9,17.2,23.0,0.062,19.0,wild,medium,acceptable,,,0.113,13.3,309.15,Mammals,Chiroptera
2019,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,nilssonii,Northern bat,,,,,1.5,1.0,365.0,4.52,,13.0,,20.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2020,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,serotinus,Serotine,,,68.0,,1.5,1.0,,5.3,,18.2,0.0487,21.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2021,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasionycteris,noctivagans,Silver-haired bat,152.0,152.0,55.0,36.0,2.0,1.0,365.0,1.67,,10.0,,12.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2022,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,cinereus,Hoary bat,,,56.0,34.0,2.0,1.0,365.0,5.5,9.5,24.0,,14.0,wild,medium,acceptable,,,,,307.95,Mammals,Chiroptera
2027,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,daubentonii,Daubenton's bat,730.0,730.0,54.0,,1.0,1.0,,2.09,,8.5,,28.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2028,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,emarginatus,Geoffroy's bat,456.0,456.0,,,1.0,1.0,365.0,,,11.0,,22.7,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2029,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,evotis,Western long-eared myotis,,,,,1.0,1.0,365.0,1.22,,7.4,,22.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2030,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,grisescens,Gray myotis,456.0,456.0,,,1.0,1.0,365.0,2.9,,9.25,0.0964,16.5,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2033,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,lucifugus,Little brown bat,210.0,210.0,55.0,25.0,1.0,1.0,365.0,1.96,,10.0,0.11599999999999999,34.0,wild,medium,acceptable,,,0.051,5.8,305.15,Mammals,Chiroptera
2034,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,myotis,Mouse-eared bat,502.0,502.0,65.0,42.0,1.0,1.0,365.0,5.9,,28.55,0.109,37.1,wild,large,acceptable,,,,,308.15,Mammals,Chiroptera
2035,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,mystacinus,Whiskered bat,365.0,456.0,,,1.0,,365.0,,,5.3,,24.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2036,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,Natterer's bat,,,,60.0,1.0,1.0,365.0,,,7.5,,23.7,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2037,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nigricans,Black myotis,98.0,98.0,55.0,38.0,1.0,2.0,,1.0,3.7,4.2,,7.0,wild,medium,acceptable,,,0.027000000000000003,3.7,307.15,Mammals,Chiroptera
2038,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,sodalis,Indiana bat,,,,,1.0,1.0,,4.53,,7.7,,20.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2039,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,thysanodes,Fringed myotis,,,55.0,21.0,1.0,1.0,365.0,1.32,,6.0,0.0108,18.3,wild,medium,acceptable,,,,,306.15,Mammals,Chiroptera
2040,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,velifer,Cave myotis,365.0,365.0,65.0,43.0,1.0,1.0,365.0,3.2,,10.1,0.13,11.3,wild,medium,acceptable,,,0.04,11.9,,Mammals,Chiroptera
2041,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,vivesi,Fish-eating bat,,,,,1.0,,,2.82,,25.0,,10.0,unknown,medium,acceptable,,,0.19899999999999998,25.0,309.15,Mammals,Chiroptera
2042,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,volans,Long-legged myotis,152.0,,,,1.0,1.0,365.0,2.01,,7.0,,21.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2043,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,yumanensis,Yuma myotis,,,,,1.0,1.0,365.0,0.79,,6.25,,14.0,wild,medium,acceptable,,,0.047,5.0,,Mammals,Chiroptera
2045,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,noctula,Noctule,90.0,455.0,60.0,,1.5,1.0,,5.37,,27.75,0.0303,12.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2046,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,humeralis,Evening bat,,,,30.0,2.0,1.0,365.0,1.75,2.6,9.75,0.0157,6.0,wild,medium,acceptable,,,,,307.15,Mammals,Chiroptera
2047,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Perimyotis,subflavus,Eastern pipistrelle,212.0,,44.0,,2.0,1.0,365.0,0.94,5.2,7.5,,14.8,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2048,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,Kuhl's pipistrelle,,,,60.0,1.5,,365.0,,,6.0,,8.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2049,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,Nathusius's pipistrelle,91.0,91.0,,,2.0,1.0,,,,10.0,,11.0,wild,medium,acceptable,,,,,,Mammals,Chiroptera
2050,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,Common pipistrelle,456.0,456.0,42.0,42.0,1.2,1.0,365.0,1.125,,5.0,0.0668,16.6,wild,medium,acceptable,0.36,4.0,,,,Mammals,Chiroptera
2051,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,Brown big-eared bat,365.0,365.0,65.0,42.0,1.33,1.0,365.0,2.09,,7.8,,30.0,wild,medium,acceptable,,,0.08199999999999999,10.2,307.15,Mammals,Chiroptera
2053,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,balstoni,Western broad-nosed bat,,,210.0,29.0,1.5,,,2.4,5.6,11.7,,9.7,captivity,small,acceptable,,,,,,Mammals,Chiroptera
2058,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Chaetophractus,vellerosus,Screaming hairy armadillo,,,,,,,,,,840.0,,16.2,captivity,small,acceptable,,,1.7069999999999999,1110.0,307.55,Mammals,Others (Grouped)
2059,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Chaetophractus,villosus,Large hairy armadillo,273.0,273.0,67.0,56.0,2.0,1.0,,128.0,,3000.0,0.0207,25.2,captivity,medium,acceptable,,,4.508,4540.0,308.25,Mammals,Others (Grouped)
2061,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded armadillo,365.0,365.0,133.0,137.0,4.0,1.0,,66.0,,5500.0,,22.3,captivity,medium,acceptable,,,4.655,3413.7,307.65,Mammals,Others (Grouped)
2063,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Euphractus,sexcinctus,Six-banded armadillo,274.0,274.0,68.0,28.0,2.0,,,105.0,420.0,4850.0,,22.1,captivity,medium,acceptable,,,6.901,8190.0,307.35,Mammals,Others (Grouped)
2064,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Priodontes,maximus,Giant armadillo,320.0,320.0,122.0,35.0,1.5,,,62.15,,33000.0,,15.0,captivity,small,acceptable,,,16.892,45190.0,306.75,Mammals,Others (Grouped)
2065,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Tolypeutes,matacus,Southern three-banded armadillo,320.0,320.0,120.0,55.0,1.0,1.0,,80.0,,1500.0,0.0362,36.8,captivity,small,acceptable,,,1.172,1160.0,306.15,Mammals,Others (Grouped)
2067,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Zaedyus,pichiy,Pichi,320.0,320.0,60.0,42.0,2.0,,,105.0,,1500.0,,12.5,captivity,small,acceptable,,,2.1919999999999997,1740.0,308.35,Mammals,Others (Grouped)
2068,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Kultarr,350.0,350.0,12.0,90.0,6.0,1.5,183.0,,,24.0,,3.5,captivity,small,acceptable,,,0.141,25.8,308.95,Mammals,Others (Grouped)
2069,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,agilis,Agile antechinus,330.0,,27.0,90.0,10.0,,365.0,,10.0,18.0,,4.7,captivity,tiny,acceptable,,,,,,Mammals,Others (Grouped)
2070,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,bellus,Fawn antechinus,350.0,,30.0,96.0,13.0,1.0,365.0,,,34.0,,3.4,captivity,small,acceptable,,,,,,Mammals,Others (Grouped)
2071,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Yellow-footed antechinus,345.0,,25.0,90.0,7.0,1.0,365.0,,,45.0,0.0351,3.9,captivity,small,acceptable,,,0.252,46.5,308.15,Mammals,Others (Grouped)
2074,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Brown antechinus,285.0,285.0,30.0,106.0,7.0,1.0,365.0,0.016,16.0,27.5,,5.4,captivity,small,acceptable,,,0.18899999999999997,25.0,308.25,Mammals,Others (Grouped)
2075,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,swainsonii,Dusky antechinus,330.0,,28.0,94.0,8.0,1.0,365.0,,15.0,41.0,,3.3,captivity,small,acceptable,,,0.35100000000000003,66.9,309.15,Mammals,Others (Grouped)
2076,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Mulgara,315.0,315.0,38.0,121.0,7.0,1.0,365.0,,22.0,115.0,,7.4,captivity,small,acceptable,,,0.26,91.0,310.85,Mammals,Others (Grouped)
