,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460.0,1460.0,28.0,,37.0,,,,,9.402000000000001,,25.0,captivity,medium,acceptable,,,0.00196,3.21,291.0,Amphibians,Caudata
111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,,,150.0,,85.0,,,,,,,16.9,captivity,tiny,acceptable,,,,,,Amphibians,Caudata
112,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,1460.0,1095.0,150.0,,200.0,,,,,200.967,,27.0,captivity,small,acceptable,,,0.009040000000000001,199.0,288.0,Amphibians,Caudata
113,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,,,135.0,,200.0,,,,,,,15.9,captivity,small,acceptable,,,,,,Amphibians,Caudata
115,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,1825.0,1825.0,60.0,,500.0,,,,,,,55.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
116,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825.0,1825.0,72.0,,275.0,,,,,358.1,,29.0,wild,medium,acceptable,,,0.0253,358.0,288.0,Amphibians,Caudata
124,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,,,23.0,,70.0,,,,,,,8.0,wild,medium,acceptable,,,,,,Amphibians,Caudata
129,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal salamander,1642.0,1277.0,45.0,,25.0,,,,,,,17.7,captivity,tiny,acceptable,,,,,,Amphibians,Caudata
130,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,1280.0,1280.0,,,16.0,,,,,0.6,,19.8,captivity,tiny,acceptable,0.3,,,,,Amphibians,Caudata
131,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied salamander,1280.0,1280.0,,,25.0,,,,,14.34,,15.0,captivity,small,acceptable,,,0.00411,14.1,288.0,Amphibians,Caudata
132,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,welteri,Black mountain salamander,1642.0,1642.0,,,26.0,,,,,,,20.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
